show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s5765,Movie,Titeuf,5242,"Donald Reignoux, Mélanie Bernier, Zabou Breitman",,,2011,0,87,"Animation, Kids, Young Adult Audience","Titeuf is a famous character from comics and animation series. In this movie - Titeuf's life never been worse- Nadia didn't invite him to her birthday party, his parent's are close to be deported - and everything looks so bad. No one can solve the problems now but Titeuf in his funny ways ... Or maybe he'll fail too?"
s5767,Movie,The Thieves Code,165,"Odelia San Diego, Baraka Noel, Tracy Nguyen, Lily Donavan-Seid, Michele Condon, Kim Christopher Codella, Miyoko Sakatani, Ernest Vestito, Christopher Granlund, Mike Spiegelman, David Kittel, Tony Sparks, Jim Snell, Troy Turner",,,2021,3,101,"Action, Drama, Romance","""When a low-level thief uncovers her wife's debt to the mafia, she enlists her partner in crime, her other lover's, help to get the money. Unfortunately, he too owes the mafia, forcing the thieves to tackle a risky heist, unaware that a much larger scheme is at play."""
s5768,Movie,The Secret Diaries of Miss Anne Lister,2055,"Maxine Peake, Anna Madeley, Christine Bottomley",,,2010,2,90,"Drama, LGBTQ","The story of Anne Lister, a 19th-century Yorkshire landowner, industrialist and lesbian. Anne kept a detailed account of her life in a fascinating and painfully honest 4,000,000-word journal. A sizeable portion was written in code, and the recent deciphering of the diaries provides an astonishing insight into the life of the woman who has been called Britain's first modern lesbian."
s5769,Movie,The Rolling Stones - From The Vault: Hampton Colesium Live In 1981,1812,The Rolling Stones,,,2014,0,143,Music Videos and Concerts,"""From The Vault"" is a new series of live concerts from The Rolling Stones archive which are getting their first official release. ""Hampton Coliseum - Live In 1981"" was part of the band's American Tour in 1981 and was the most successful tour of that year taking a then record $50 million dollars in ticket sales."
s5771,Movie,The Pizza Joint,5108,"Timothy DeLaGhetto, Robert LaSardo, Peter Dante, Noel Gugliemi, Dian Bachar, Anthony Guajardo",,,2021,3,91,Comedy,"Thomas (Timothy Delaghetto) and Anthony (Anthony Guajardo) run the best pizza joint in town, Phu-King Pizza! They have a deal in place with Playa Playa (Noel G), to use his most coveted strain, ""Jamaican Goddess,"" and infuse it directly into the pizza. On pay day the $20k owed to Playa Playa was stolen, and the duo with their misfit employees, are given until midnight to pay the debt or else."
s5772,Movie,The Perfect Game,5170,"Clifton Collins Jr., Cheech Marin, Moises Arias, Ryan Ochoa, Jake T. Austin, Jansen Panettiere, Emilie de Ravin, Lou Gossett Jr.",,,2011,12,117,Drama,"After Cesar's baseball career ends, he moves to Mexico and is recruited to coach a rag tag team and compete in the 1957 Little League World Series."
s5773,Movie,The Map of Tiny Perfect Things,1931,"KATHRYN NEWTON, KYLE ALLEN, AL MADRIGAL, JERMAINE HARRIS, ANNA MIKAMI, JOSH HAMILTON, CLEO FRASER, JORJA FOX",United States,,2021,13,99,"Comedy, Romance, Young Adult Audience","Quick-witted teen Mark (Kyle Allen) is contentedly living the same day in an endless loop when his world is turned upside-down by the mysterious Margaret (Kathryn Newton), also stuck in the same loop. What follows is a love story with a fantastical twist, as the two struggle to figure out how – and whether – to escape their never-ending day."
s5774,Movie,The Magnetic Monster - One of the best 50's Sci-Fi Movies,997,"Richard Carlson, King Donovan, Jean Byron, Byron Foulger",,,1953,0,75,"Drama, Horror, Science Fiction","For many, this ""B"" film succeeds on all levels & was made for an adult audience...For some, it's considered schlock! One of the few 50's Sci-Fi films to show the nuclear radiation problem realistically. Dated now,, but an effective, well-written thriller. The star of ""It Came From Outer Space,"" Creature From The Black Lagoon"" & other classics. Richard Carlson gives another fine performance."
s5775,Movie,The Horrific Evil Monsters,69,"Bishop Stevens, Jennie Russo, Gregory Blair, Will Nemi, Michael O'Hear, Sean Sanders, Kaylee Williams, Christopher Brechtel, Dawna Lee Heising",,,2021,3,70,Action,A secret government agency recruits a misfit band of superhumans to battle a biblical force.
s5776,Movie,The Handmaiden,3624,"KIM MIN-hee, HA JUNG-woo, CHO JIN-woong, KIM HAE-sook, MOON SO-ri",,,2016,3,145,"International, LGBTQ, Suspense","From PARK Chan-wook, the celebrated director of OLDBOY, LADY VENGEANCE and STOKER, comes a ravishing new crime drama. PARK presents a gripping and sensual tale of two women - a young Japanese Lady living on a secluded estate, and a Korean woman who is hired to serve as her new handmaiden, but is secretly plotting with a conman to defraud her of a large inheritance."
s5777,Movie,The Edge of Marlene,250,"Suzanne Clément, Callum Keith Rennie, Paloma Kwiatkowski, Dakota Daulby",,,2016,2,97,"Comedy, Drama","This darkly comic drama centers on mother/daughter con artists. Sammie lives with her pill-popping, alcoholic mom Marlene - this bittersweet journey leads us through their dysfunction, love & addiction, before an unusual deliverance."
s5778,Movie,The Booksellers,1009,"Parker Posey, Fran Lebowitz, Gay Talese",,,2020,4,99,Documentary,A behind-the-scenes look at the New York rare book world.
s5782,Movie,Taken In,4957,"Ben Sharples, Raquel Bell",,,2021,0,15,"Drama, Suspense","A disturbance is reported in a quiet neighborhood. When a police officer investigates, things aren't what they seem."
s5783,Movie,Stonewall,3549,"Guillermo Diaz, Frederick Weller, Bruce MacVittie, Brendan Corbalis",,,1997,3,92,"Arts, Entertainment, and Culture, LGBTQ","America comes out of the closet in this exuberant musical comedy based on real events. To the music of The Shangri-Las, Patti LaBelle and Judy Garland, Stonewall mixes outrageous lip-synching with glitter, romance and attitude."
s5785,Movie,Sound of Metal,1114,"Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff, Mathieu Amalric",United States,,2020,14,121,Drama,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew."
s5786,Movie,Seven Days In Utopia,3160,"Robert Duvall, Lucas Black, Melissa Leo, Deborah Ann Woll, Madison Burge",,,2011,4,99,"Drama, Special Interest, Sports","After a disastrous debut on the pro circuit, a young golfer finds himself unexpectedly stranded in Utopia, Texas and welcomed by an eccentric rancher."
s5787,Movie,Sebastian LIVE,3016,Sebastian Maniscalco,,,2009,3,62,"Arts, Entertainment, and Culture","Sebastian Maniscalco's comedy is impeccably paced and chock-full of seething observations on daily human behavior. He voices his disgust of everything from shopping at discount department stores to men in flip-flops. Filmed at the famed Paramount Theatre in St. Louis, Missouri, Sebastian LIVE, will leave you screaming for more of Sebastian's unique brand of humor."
s5790,Movie,Rolling Stones - Sticky Fingers Live At The Fonda Theatre 2015,3682,The Rolling Stones,,,2017,0,87,Music Videos and Concerts,"On May 20th 2015 at the Fonda Theatre in Hollywood, California, The Rolling Stones performed the entire Sticky Fingers album live in concert for the first time. The intimate setting of the Fonda Theatre was in contrast to the huge stadiums in which the band would perform for the rest of the tour and made this an incredibly special occasion for those fans lucky enough to get a ticket."
s5792,Movie,Recognize,4825,"TERRY MILES, ONEWAY BOOBE, TONY FRANKLIN, DINO",,,2021,3,93,"Action, Drama",Recognize is an action packed urban film about an car dealership owner that works as respectable job by day but has a dark twisted side to him that you wouldn't expect. This film delivers a strong message to the streets. Definitely said to be the next hood classic. Written and directed by TMiles/Exec Producer Terry T.Miles Cinematography Jason Diaz
s5793,Movie,Razia Sultan,2619,"Dharmendra, Hema Malini, Parveen Babi, Pradeep Kumar, Vijayendra Ghatge, Ajit, Veena",,,1983,0,151,Drama,"Razia Sultan, the first female ruler of the Delhi Sultanate, lands in trouble and loses her kingdom when she falls in love with Jamal-ud-Din Yakut, an Abyssinian slave."
s5796,Movie,Pachchis,4590,"Raamz, Swetaa Varma, Ravi Varma, John Kottoly, Subhalekha Sudhakar, Vishwendar Reddy, Dayanand, Sunjith, Sai Kumar, Deepak",,,2021,2,128,"Action, Suspense","Abhiram (Ramaz) wants to hit a jackpot through gambling and soon loses all the money. In order to make a quick recovery, he presses his luck in a political feud and bumps into Avantika (Swetha Varma) who searches for her missing brother. And the rest of the Pacchis movie is an out-and-out cat and mouse thriller."
s5797,Movie,Other Voices,3608,"Roni Keidar, Marwan Mahmoud, Natan Galvowicz, Ahmed Jamal Al-Nassan, Eric Yellin",,,2021,3,84,Documentary,"Unlikely friends in Gaza & Sderot, THE battlefield of the Israeli- Palestinian conflict, band together to save their neighborhood"
s5798,Movie,Octagon,920,"Kierney Nelson, Deborah Hurm, Blythe Scott",,,2017,14,103,Horror,"A young man, Nicky, has the same nightmare every night. Convinced that his recurring nightmare is real, he takes his girlfriend, Lora, deep into the woods to look for clues to prove he's right. Nicky recalls each part of his dream as they travel; eight bizarre and grotesque stories that comprise his living nightmare."
s5799,Movie,Nose,424,"Francois Demachy, Erin Flaherty, Virginie Ledoyen, Eddie Bulliqi",,,2021,11,71,"Arts, Entertainment, and Culture, Documentary, International","For the first time in a documentary feature, the prestigious House of Dior opened its doors to show the wonders of perfume creation."
s5800,Movie,Nagina,1832,"Sridevi, Rishi Kapoor, Komal Mahuvakar, Amrish Puri, Sushma Seth, Prem Chopra, Guddi Maruti",,,1986,0,137,"Drama, Romance, Science Fiction","Rajiv, however, is in love with an orphan named Rajni. Rajni wins Rajiv's mother over and they are allowed to marry. All goes well until a snake charmer, Bhairo Nnath, arrives on the scene and tells the mother that her daughter-in-law is a reptilian shape-shifter with evil intentions. Bhairo Nnath knows more than he is telling."
s5801,Movie,Monsieur Papa,2615,"Kad Merad, Michelle Laroque, Vincent Perez, Judith el Zein, Gaspard Meier-Chaurand",,,2011,0,89,"Comedy, Drama","Monsieur Papa is the story of the strange bond that will be formed between Marius, Marie and Robert, who unexpectedly becomes a father. A bond that will give them plenty of headaches and mark their lives."
s5803,Movie,Mere Jeevan Saathi,4728,"Akshay Kumar, Karisma Kapoor, Ameesha Patel, Gulshan Grover, Ashish Vidyarthi",,,2006,7,125,"Arts, Entertainment, and Culture, Drama, Romance","A love triangle which involves a rock star, a woman he's always been in love with and his new sensual boss who will stop at nothing to get what she wants, no matter who she hurts in the process."
