content_category,total_count,avg_preference,avg_release_year
"Movie - Classic Movies, Comedies, Sports Movies",1,40.0,1974.0
"Movie - Classic Movies, Cult Movies, Documentaries",1,83.0,1990.0
"Movie - Classic Movies, Cult Movies, Dramas",2,60.0,1982.5
"Movie - Classic Movies, Cult Movies, Horror Movies",2,86.0,1978.5
"Movie - Classic Movies, Documentaries",11,78.36363636363636,1944.2727272727273
"Movie - Classic Movies, Dramas",11,69.54545454545455,1976.5454545454545
"Movie - Classic Movies, Dramas, Independent Movies",9,70.88888888888889,1988.888888888889
"Movie - Classic Movies, Dramas, International Movies",16,73.6875,1974.6875
"Movie - Classic Movies, Dramas, LGBTQ Movies",1,87.0,1993.0
"Movie - Classic Movies, Dramas, Music & Musicals",2,68.0,1979.0
"Movie - Classic Movies, Dramas, Romantic Movies",3,81.0,1962.3333333333333
"Movie - Classic Movies, Dramas, Sports Movies",2,65.0,1982.0
"Movie - Classic Movies, Horror Movies, Thrillers",1,100.0,1968.0
"Movie - Classic Movies, Independent Movies, Thrillers",1,57.0,1992.0
"Movie - Classic Movies, Music & Musicals",1,61.0,1964.0
"Movie - Classic Movies, Thrillers",1,67.0,1992.0
Movie - Comedies,110,69.9090909090909,2013.1818181818182
"Movie - Comedies, Cult Movies",12,78.91666666666667,1999.8333333333333
"Movie - Comedies, Cult Movies, Dramas",6,68.33333333333333,1997.5
"Movie - Comedies, Cult Movies, Horror Movies",3,65.33333333333333,1995.0
"Movie - Comedies, Cult Movies, Independent Movies",1,49.0,2017.0
"Movie - Comedies, Cult Movies, International Movies",3,59.0,1980.0
"Movie - Comedies, Cult Movies, LGBTQ Movies",1,56.0,1995.0
"Movie - Comedies, Cult Movies, Music & Musicals",2,54.5,1998.5
"Movie - Comedies, Cult Movies, Sci-Fi & Fantasy",1,87.0,1996.0
"Movie - Comedies, Cult Movies, Sports Movies",1,88.0,1996.0
"Movie - Comedies, Documentaries",2,44.0,1999.0
"Movie - Comedies, Documentaries, International Movies",1,88.0,2016.0
"Movie - Comedies, Dramas",29,76.37931034482759,2013.6206896551723
"Movie - Comedies, Dramas, Faith & Spirituality",2,95.0,2016.5
"Movie - Comedies, Dramas, Independent Movies",116,70.29310344827586,2014.103448275862
"Movie - Comedies, Dramas, International Movies",274,69.17153284671532,2013.1788321167883
"Movie - Comedies, Dramas, LGBTQ Movies",4,90.25,2017.75
"Movie - Comedies, Dramas, Music & Musicals",4,59.5,2018.75
"Movie - Comedies, Dramas, Romantic Movies",19,69.57894736842105,2010.3157894736842
"Movie - Comedies, Dramas, Sports Movies",1,80.0,2008.0
"Movie - Comedies, Faith & Spirituality, International Movies",3,80.33333333333333,2007.6666666666667
"Movie - Comedies, Faith & Spirituality, Romantic Movies",2,83.0,2016.5
"Movie - Comedies, Horror Movies",12,67.08333333333333,2014.5
"Movie - Comedies, Horror Movies, Independent Movies",5,65.2,2015.0
"Movie - Comedies, Horror Movies, International Movies",15,76.13333333333334,2015.8666666666666
"Movie - Comedies, Horror Movies, Sci-Fi & Fantasy",4,63.0,2003.75
"Movie - Comedies, Independent Movies",25,70.0,2015.4
"Movie - Comedies, Independent Movies, International Movies",22,65.81818181818181,2016.2727272727273
"Movie - Comedies, Independent Movies, LGBTQ Movies",5,74.2,2016.2
"Movie - Comedies, Independent Movies, Music & Musicals",1,55.0,2016.0
"Movie - Comedies, Independent Movies, Romantic Movies",8,81.25,2012.625
"Movie - Comedies, Independent Movies, Thrillers",2,51.0,2016.5
"Movie - Comedies, International Movies",176,71.3409090909091,2014.5
"Movie - Comedies, International Movies, LGBTQ Movies",8,70.375,2018.375
